id,name,description,display_order,created_at
66,KIST Safety Training,Karma Industrial Safety Training programs based on WorkSafeBC regulations,1,2025-08-01 02:41:04
67,Operator Certification,IVES certified operator training and equipment certification,2,2025-08-01 02:41:04
68,Specialized Training,Specialized safety training programs for specific industries,3,2025-08-01 02:41:04
